,ACER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
37,Asus,Eee PC 1225C[28],1.45,,11.6,1366x768 WXGA,135,Intel Atom N2600 / N2800,1.6 / 1.86,,?,"VGA, HDMI",HDD,320 / 500,1 - 2 (DDR3),"5 (3-cell, 2.6Ah)","7.5 (6-cell, 2.2Ah)",?,0.3 MP,Touchpad 2-buttons below,Ubuntu,-,Eee PC 1225C Manual,,
38,Asus,Eee PC 1215P[29],1.45,,12.1,1366x768 WXGA,129,Intel Atom N550,1.5,,?,VGA,HDD,250 / 320,1 - 2 (DDR),8 (6-cell),8 (6-cell),?,0.3 MP,Touchpad 2-buttons below,-,7 Home Premium / 7 Starter,Eee PC 1215P Manual,,
39,Asus,Eee PC 1215B[30],1.45,,12.1,1366x768 WXGA,129,AMD APU E450 / E350 / C30 / C50 / C60,1.65 / 1.6 / 1.2 / 1.0,,AMD Radeon HD 6320 / 6310 / 6250 / 6290,"VGA, HDMI",HDD,250 / 320 / 500 + 3 (Web Storage),1 - 4 (DDR3),"8 (6-cell, 56Wh)","8 (6-cell, 56Wh)",?,0.3 MP,Touchpad 2-buttons below,?,7 Home Premium,Eee PC 1215B Manual,,
40,Asus,Eee PC 1215N[31],1.45,,12.1,1366x768 WXGA,129,Intel Atom D525,1.8,,?,"VGA, HDMI",HDD,250 / 320 + Web Storage,1 - 4 (DDR),6 (6-cell),6 (6-cell),?,0.3 MP,Touchpad 2-buttons below,-,7 Home Premium,Eee PC 1215N Manual,,
41,Asus,Eee PC 1215T[32],1.45,,12.1,1490x900 WXGA+,147,AMD Athlon II Neo K125,1.7,,AMD HD 4250,"VGA, HDMI",HDD,250 / 320,1 - 2 (DDR3),? (6-cell),? (6-cell),?,0.3 MP,Touchpad 2-buttons below,-,7 Home Premium,Eee PC 1215T Manual,,
42,AVERATEC,,,,,,,,,,,,,,,,,,,,,,,,
43,Averatec,Buddy[33],1.19,2.62,10.2,?,?,Atom,1.6,,?,VGA,HDD,160,1,?,?,?,?,,,,?,XP,
44,Axioo,Pico[34],1.2,2.6,10,1024×600 WSVGA,118,Atom N270,1.6,,?,?,HDD,120,1 [Note 5],"? (3 cells, 2200 mAh)","? (6 cells, 5200 mAh)",?,?,,?,XP,,,
45,BELCO,450R[35],0.75,1.65,7,800x480,133,"DM&P PDX-600 (Vortex86dx, i486DX compatible)",1,,XGI Z9s (no 3D acceleration),?,SSD,4/8,0.5,? 2000 mAh,?,?,?,,?,?,,,
46,BENQ,,,,,,,,,,,,,,,,,,,,,,,,
47,BenQ,Joybook Lite U101,1.05,2.31,10.1,1024×576 WSVGA 16:9 LED glossy,117,Atom N270,1.66,,GMA 950,VGA,SSD+HDD,"4 (SSD) 80, 120, 160 (HDD)","1.5, 2.5 (512MB built in)",?,4,90%,?,,,Linux Lite,XP Home,,
48,Datacask,Jupiter 1014a[36],1.25,2.75,10.2,1024x600,116,Atom,1.6,,GMA 945,VGA,HDD,"80, 160","0.5, 1, 2",4 (4000 mAh),?,83%,1.3 MP,Touchpad 2-buttons below,Knoppix Variant,XP,,,
49,DELL,,,,,,,,,,,,,,,,,,,,,,,,
50,Manufacturer,Model,Weight [kg],Weight [lb],"Display size """,Display resolution,Display DPI[Note 1],CPU,Speed [GHz],HSDPA,Video chipset,Video connection(s),Storage type,Storage [GB],RAM [GB],Battery life [h] (low end),Battery life [h] (high end),Keyboard size in %[Note 2],Camera,Mouse layout,Linux/Unix OS choice(s),Windows OS choice(s),Manual / DataSheet,,
51,Dell,Mini 9[37],1.06,2.34[38],8.9,1024×600 WSVGA glossy,133,Atom,1.6,,GMA 950,VGA,SSD + SDHC,"4, 8, 16, 32, 64","0.5, 1, 2 (one slot, field upgradable)",3.5[39] (4-cell),3.5 (4-cell),83%,?,Touchpad 2-buttons below,Dell Ubuntu NBR,XP,,,
52,Dell,Mini 10[40],1.3,2.86,10,1366x768 1024x576,156 117,Atom,1.3 / 1.6,,GMA 500,HDMI (VGA on 10v),HDD,120 / 160,1,,,92%,?,,Dell Ubuntu NBR,XP,,,
53,Dell,Mini 12[41],1.24,2.73,12.1,1200x800,119,Atom,1.3 / 1.6,,GMA 500,VGA,HDD,60 / 80,1,3 (3-cell),6.5 (6-cell),91.9%,?,Touchpad 2-buttons below[42],Ubuntu NBR,Vista Home Basic,,,
54,Dell,Latitude 2100[43],1.54,3.4,10.1,1024x576,116,Atom,1.6,,GMA 950,VGA,SSD or HDD,16(ssd) / 80 / 180 /250,".5 1 1.5 2 (one slot, field upgradable)",2.24 (3-cell),4.47 (6-cell),89%,?,,Ubuntu,XP,,,
55,Dell,Latitude 2120,1.54,3.4,10.1,1024x600 Wide SVGA matte,116,Intel Atom N550,1.5,,GMA 3150 8MB,VGA,SSD or HDD,16(ssd) / 80 / 180 /250,".5 1 1.5 2 (one slot, field upgradable)",2.24 (3-cell),4.47 (6-cell),89%,1.3 MP,Touchpad 2-buttons below,Ubuntu,XP,2120 Service Manual BIOS Setup Features,,
56,E-LEAD,,,,,,,,,,,,,,,,,,,,,,,,
57,E-Lead,Noahpad,0.78,1.72,7,800×480 WVGA,133,C7-M,1,,?,?,HDD,30,0.5,?,?,?,?,,Ubuntu,?,,,
58,ELONEX,,,,,,,,,,,,,,,,,,,,,,,,
59,Elonex,ONE,1.00,2.20,7.0,800×480 WVGA,133,LNX Code 8,0.3,,?,None,SSD,1,0.125,?,?,?,?,,Linos,?,,,
60,EMACHINES,,,,,,,,,,,,,,,,,,,,,,,,
61,Emachines,E350[44],1.25,2.75,10.1,1024x600,116,Atom N450,1.66,,GMA 3150,VGA,HDD,160,1,3 (3-cell),6.5 (6-cell),92%,1.3 MP,Touchpad 2-buttons below,,XP,,,
62,EMTEC,,,,,,,,,,,,,,,,,,,,,,,,
63,EMTEC,Gdium[45][46][47],1.2,2.64,10,1024x600 WVGA,118,MIPS Loongson 2F[48],0.9,,?,VGA,G-Key removable USB Flash,16,0.5,,?,?,?,?,Mandriva G-Linux,None (not x86 based),,,
64,EVEREX,,,,,,,,,,,,,,,,,,,,,,,,
65,Everex,CloudBook,0.91,2.00,7,800×480 WVGA,133,C7-M ULV,1.2,,UniChrome Pro IGP,DVI-I,HDD,30,0.5,?,?,?,?,,gOS Rocket,?,,,
