,Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
38,Skype,"Linux(with limited functionality),[27] macOS, Windows 2000-XP-Vista-7-Mobile (unsupported), BREW, Windows Phone , Android, iPhone, PSP",Proprietary,Free,Proprietary P2P protocol [a],SILK,TLS,25 starting with version 3.6.0.216. 10 with 2.x,"Conferencing, video, file transfer, voicemail, Skype to phone, phone to Skype, additional P2P extensions (games, whiteboard, etc...); depending on platform.","Windows, UWP14.54.91.0 / 13 November 2019; 22 days ago[28]Windows, desktop8.54.0.91 / 13 November 2019; 22 days ago[28]macOS8.54.0.91 / 13 November 2019; 22 days ago[28]Linux8.54.0.91 / 13 November 2019; 22 days ago[28]Android8.54.0.91 / 13 November 2019; 22 days ago[29]iOS8.54.0.91 / 13 November 2019; 22 days ago[30] (iPhone), [31] (iPad)"
39,"Windows, UWP",14.54.91.0 / 13 November 2019; 22 days ago[28],,,,,,,,
40,"Windows, desktop",8.54.0.91 / 13 November 2019; 22 days ago[28],,,,,,,,
41,macOS,8.54.0.91 / 13 November 2019; 22 days ago[28],,,,,,,,
42,Linux,8.54.0.91 / 13 November 2019; 22 days ago[28],,,,,,,,
43,Android,8.54.0.91 / 13 November 2019; 22 days ago[29],,,,,,,,
44,iOS,"8.54.0.91 / 13 November 2019; 22 days ago[30] (iPhone), [31] (iPad)",,,,,,,,
45,TeamSpeak,"Linux, Windows, macOS, FreeBSD, Android, iOS",Proprietary,Free,Unknown,"CELT, Speex, Opus[32]",Yes,"32 unlicensed, 512 with non-profit license, 2000","Simultaneous server conferencing with tabs, 3D sound effects, scalable permissions system, firewall friendly file transfers, in-game overlay for DirectX & OpenGL games, global public server list, plugin system",3.3
46,TeamTalk,"Linux, Windows, macOS, Android, iOS, Raspbian",Proprietary,Free,Proprietary,"Opus, Speex, WebM",No,1000,"Video, file sharing, desktop sharing, stream media files (MP3, AVI)",5.3.3; November 2018; 1 year ago
47,TeamViewer,"Linux, Windows, macOS, iOS, Android[33]",Proprietary,Free (personal use only),Unknown,Unknown,AES256,Unknown,Unknown,"Windows (desktop app)15.0.8397 / November 19, 2019; 16 days ago[34]macOS15.0.8397 / November 19, 2019; 16 days ago[35]Linux15.0.8397 / November 19, 2019; 16 days ago[36]Android15.0.13 / November 19, 2019; 16 days ago[37]iOS15.0.2 / November 19, 2019; 16 days ago[38]Windows (UWP app)14.100.134887[39]BlackBerry OS12.0.0.6394 / February 1, 2017; 2 years ago[40]Chrome OS15.0.14842 / November 19, 2019; 16 days ago[41]"
48,Windows (desktop app),"15.0.8397 / November 19, 2019; 16 days ago[34]",,,,,,,,
49,macOS,"15.0.8397 / November 19, 2019; 16 days ago[35]",,,,,,,,
50,Linux,"15.0.8397 / November 19, 2019; 16 days ago[36]",,,,,,,,
51,Android,"15.0.13 / November 19, 2019; 16 days ago[37]",,,,,,,,
52,iOS,"15.0.2 / November 19, 2019; 16 days ago[38]",,,,,,,,
53,Windows (UWP app),14.100.134887[39],,,,,,,,
54,BlackBerry OS,"12.0.0.6394 / February 1, 2017; 2 years ago[40]",,,,,,,,
55,Chrome OS,"15.0.14842 / November 19, 2019; 16 days ago[41]",,,,,,,,
56,Telephone,macOS 10.10.2,BSD,Free,"SIP, STUN, ICE",Unknown,No,Unknown,Address Book integration,"1.1.4; March 6, 2012; 7 years ago"
57,"Toktumi Unlimited, Line2 Pro","Windows XP-Vista-7, macOS, iOS, Android",Proprietary,Free,Proprietary with SIP core,Unknown,Unknown,20,"Conferencing, voicemail, caller ID, call-waiting, address book integration; auto-attendant, call-forwarding",Windows; August 2010; 9 years ago; macOS; October 2010; 9 years ago
58,Tox,"Linux, macOS, Windows, Android, FreeBSD",GPL,Free,"Tox, VP8","Opus,",NaCl,Unknown,"Voice, video, instant messaging, file transfers",Unknown
59,Tru App,"Windows 2000-XP-Vista-7, macOS, LinuxiOS, Android, Symbian, BlackBerry OS,",Proprietary,Free,"SIP, XMPP",Unknown,Unknown,Unknown,"Chat, file transfer, voicemail, inbound numbers, integration with GTalk, Microsoft Live, Skype",
60,Tuenti,"Android, iPhone, Windows Phone",Proprietary,Free,"WebRTC, SIP, XMPP","iLBC, Opus",Yes,?,"Voice, video, Instant messaging, group chat, photo and video sharing, SMS and MMS, native and social network contacts integration, incoming call/IM push notifications.",
61,Twinkle,Linux,GPL,Free,SIP,"G.711 A-law μ-law, G.726, GSM, iLBC, Speex narrow wide ultrawide","SRTP, ZRTP",3,"Conferencing, chat, file transfer, Firefox integration, call redirection, voicemail, support of VoIP-to-Phone services","1.10.2 (February 14, 2019; 9 months ago) [±]"
62,Ventrilo,"macOS, Windows, iOS, Android",Proprietary,Free,Unknown,Unknown,No,8,"Conferencing, chat, text-to-speech",3.0.8
63,Viber,"Linux,[b] macOS,[b] Windows,[b] Android, Bada, BlackBerry OS, iOS, Series 40, Symbian, Windows Phone",Proprietary,?,Unknown,Unknown,Yes[44],Unknown,"Varies by platform: Text, picture and video messaging on all, voice calling only on iPhone, Android and Microsoft's Windows Phone","Android11.9.5.8 / December 2, 2019; 3 days ago[45][46]iOS11.8 / November 3, 2019; 32 days ago[47]Windows11.8 / November 1, 2019; 34 days ago[48]Linux10.3.0.37[49]"
64,Android,"11.9.5.8 / December 2, 2019; 3 days ago[45][46]",,,,,,,,
65,iOS,"11.8 / November 3, 2019; 32 days ago[47]",,,,,,,,
66,Windows,"11.8 / November 1, 2019; 34 days ago[48]",,,,,,,,
67,Linux,10.3.0.37[49],,,,,,,,
68,Vonage,"Linux, macOS, Windows, Android, iOS",Proprietary,not free,"SIP, STUN, ICE, TURN","Audio: Opus, G.711 Video: VP8",SRTP,50,"VoIP , video, instant messaging, presence (SIP SIMPLE), PSTN (inbound and outbound), call waiting, call hold, call forwarding, voicemail, message-waiting indication, 3-way conferencing, contacts integration, receptionist console, video, group chat, content sharing, SMS over IP services, native and social network contacts integration, incoming call/IM push notifications, fax, file sharing, screen sharing (desktop only), number programmability.",
69,Wire,"Linux, Windows, macOS, iOS, Android, Web",GPLv3,not free,?,"Template:Opus (audio), VP8 (video)","DTLS, SRTP[50]",10[51],"End-to-end encryption by default for everything, instant messaging, video call, video group call, file sharing, GIF sharing, push to talk, edit message, delete message (on both side), timed messages, doodling, identity verification, screen sharing (desktop only)",?
70,X-Lite,"macOS, Windows",Proprietary,Free,"SIP, STUN, ICE, TURN","H.263, H.263+, G.711, iLBC, Speex",No,3,"VoIP over WiFi, 3G, 4G, video, instant messaging, presence (SIP SIMPLE), call waiting, call hold, call forwarding, voice mail, message waiting indication, 3 way conferencing, contacts integration, background noise reduction (BNR), automatic gain control (AGC)","5.3.3 July 10, 2018; 16 months ago"
71,Yahoo! Messenger,"Classic Mac OS (8, 9), macOS, Windows, (Linux, FreeBSD version VoIP incapable)",Proprietary,Free,SIP (using TLS) and RTP (media),Unknown,Unknown,Unknown,"Video, file transfer, PC to phone, phone to PC","Windows: 11.5.0.228; May 31, 2012; 7 years ago Mac: 3.0.1; July 20, 2011; 8 years ago Linux: 1.0.6; September 2003; 16 years ago SunOS 5.7: 0.99.17-1; September 2003; 16 years ago Solaris 8: 1.0.4; September 2003; 16 years ago FreeBSD 4-5: 1.0.4; September 2003; 16 years ago iOS: 2.2.6; July 12, 2012; 7 years ago"
72,Yate Client,"Linux, macOS, Windows",GPL,Free,"SIP, IAX, XMPP, H.323","G.711a, G.711u, GSM 06.10, iLBC, Speex, G.723, G.726, G.728, G.729","SRTP, maybe ZRTP?",Unknown,,6.0.0; September 2017; 2 years ago
73,Zfone,"Linux, macOS, Windows",Viewable source,Includes time bomb provision,"SIP, RTP",Unknown,"SRTP, ZRTP",Unknown,,"Beta 2008-09-04 (Linux 0.9.224), (macOS 0.9.246), (Windows 0.9.206)"
