,Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Adult single day lift ticket price (USD),Date statistics updated
226,Berkshire East,Greenfield,Massachusetts,1720,540.0,1180.0,180,45.0,6.0,120,$69,"September 29, 2019[162]"
227,Ski Butternut,Great Barrington,Massachusetts,1764,645.0,1119.0,110,22.0,10.0,115,$65,"September 29, 2019[163]"
228,Jiminy Peak,Pittsfield,Massachusetts,2375,1125.0,1140.0,170,45.0,8.0,110,$84,"September 29, 2019[164]"
229,Wachusett Mountain,Worcester,Massachusetts,2006,1006.0,1000.0,110,22.0,7.0,100,$73,"September 29, 2019[165]"
230,Nashoba Valley,Boston,Massachusetts,422,182.0,240.0,59,17.0,9.0,55,$60,"September 29, 2019[166]"
231,Blue Hills Ski Area,Boston,Massachusetts,635,326.0,309.0,60,8.0,4.0,,$45,"September 29, 2019[167]"
232,Otis Ridge Ski Camp,Otis,Massachusetts,1700,1300.0,400.0,55,11.0,5.0,70,$40,"September 29, 2019[168]"
233,Ski Bradford,Haverhill,Massachusetts,272,24.0,248.0,48,15.0,10.0,,$58,"September 29, 2019[169]"
234,Ski Ward,Shrewsbury,Massachusetts,420,210.0,210.0,45,9.0,6.0,80,$55,"September 29, 2019[170]"
235,Bosquet Ski Area,Pittsfield,Massachusetts,1818,1068.0,750.0,200,23.0,5.0,83,$47,"September 29, 2019[171]"
236,Chestnut Mountain,Galena,Illinois,1020,600.0,420.0,220,19.0,9.0,34,$60,"September 29, 2019[172]"
237,Snowstar Winter Sports Park,Moline,Illinois,790,528.0,262.0,28,14.0,6.0,38,$41,"September 29, 2019[173]"
238,Four Lakes Alpine Snowsports,Naperville,Illinois,500,400.0,100.0,9,7.0,6.0,24,$28,"September 29, 2019[174]"
239,Villa Olivia,Bartlett,Illinois,500,320.0,180.0,15,7.0,7.0,25,$40,"September 29, 2019[175]"
240,Mount Crescent,Omaha,Iowa,1500,1200.0,300.0,50,11.0,2.0,30,$39,"September 29, 2019[176]"
241,Seven Oaks,Boone,Iowa,975,800.0,175.0,35,11.0,4.0,40,$40,"September 29, 2019[177]"
242,Sleepy Hollows Sports Park,Des Moines,Iowa,938,800.0,138.0,80,8.0,2.0,,$25,"September 29, 2019[178]"
243,Sundown Mountain,Dubuque,Iowa,1059,584.0,475.0,55,21.0,6.0,45,$46,"September 29, 2019[179]"
244,Bryce Resort,Basye,Virginia,1750,1250.0,500.0,25,8.0,7.0,30,$67,"September 29, 2019[180]"
245,Massanutten Resort,Harrisonburg,Virginia,2925,1750.0,1110.0,70,13.0,7.0,35,$79,"September 29, 2019[181]"
246,Homestead Resort,Hot Springs,Virginia,3200,2500.0,700.0,45,10.0,2.0,50,$35,"September 29, 2019"
247,Canaan Valley Resort,Dryfork,West Virginia,4280,3430.0,850.0,91,39.0,4.0,150,$68,"September 29, 2019[182]"
248,Winterplace,Ghent,West Virginia,3600,2997.0,603.0,90,28.0,9.0,100,$72,"September 29, 2019[183]"
249,Oglebay Resort,Wheeling,West Virginia,,,168.0,,1.0,1.0,,$28,"September 29, 2019[184]"
250,Cloudmont Resort,Mentone,Alabama,1800,1650.0,150.0,9,2.0,2.0,0,$40,"September 29, 2019[185]"
251,Anthony Lakes,North Powder,Oregon,8000,7100.0,900.0,1100,21.0,3.0,300,$40,"September 29, 2019[186]"
252,Copper Spur,Hood River,Oregon,4350,4000.0,350.0,50,10.0,4.0,100,$39,"September 29, 2019[187]"
253,Ferguson Ridge,Joseph,Oregon,5840,5200.0,640.0,170,8.0,2.0,300,$20,"September 29, 2019[188]"
254,Hoodoo,Sisters,Oregon,5703,4668.0,1035.0,806,32.0,5.0,360,$56,"September 29, 2019[189]"
255,Mount Hood Skibowl,Government Camp,Oregon,5027,3500.0,1527.0,960,65.0,9.0,300,$55,"September 29, 2019[190]"
256,Spout Springs,Tollgate,Oregon,5450,4920.0,530.0,200,17.0,2.0,130,Closed Temporarily,"September 29, 2019"
257,Summit Ski Area,Government Camp,Oregon,4306,4000.0,306.0,70,3.0,2.0,150,$38,"September 29, 2019[191]"
258,Timberline Lodge,Government Camp,Oregon,8540,4850.0,3620.0,1430,35.0,9.0,540,$75,"September 29, 2019[192]"
259,Warner Canyon,Lake View,Oregon,6003,5271.0,732.0,200,21.0,1.0,50,$35,"September 29, 2019[193]"
260,Willamette Pass,Oakridge,Oregon,6683,5120.0,1563.0,555,29.0,6.0,430,$60,"September 29, 2019[194]"
261,Crested Butte,Crested Butte,Colorado,12170,9115.0,3055.0,1547,121.0,16.0,300,$113,"September 30, 2019[195]"
262,Echo Mountain,Evergreen,Colorado,10650,10050.0,600.0,226,13.0,2.0,275,$55,"September 30, 2019[196]"
263,Granby Ranch,Granby,Colorado,9202,8202.0,1000.0,406,40.0,5.0,220,$84,"September 30, 2019[197]"
264,Hesperus,Durango,Colorado,8888,8200.0,688.0,60,26.0,1.0,150,$39,"September 30, 2019[198]"
265,Howelson Hill,Steamboat Springs,Colorado,7136,6696.0,440.0,50,17.0,4.0,150,$30,"September 30, 2019[199]"
266,Kendall Mountain,Silverton,Colorado,9.540,9300.0,240.0,16,11.0,1.0,200,$20,"September 30, 2019[200]"
267,Monarch,Salida,Colorado,11960,10790.0,1170.0,800,63.0,5.0,400,$94,"September 30, 2019[201]"
268,Powderhorn Resort,Grand Junction,Colorado,9850,8200.0,1650.0,1600,63.0,5.0,250,$71,"September 30, 2019[202]"
269,Purgatory Resort,Durango,Colorado,10822,8793.0,2029.0,1200,85.0,10.0,260,$99,"September 30, 2019[203]"
270,Silverton Mountain,Silverton,Colorado,13487,10400.0,3087.0,1819,48.0,1.0,450,$79,"September 30, 2019[204]"
271,Sunlight Mountain,Glenwood Springs,Colorado,9895,7885.0,2010.0,470,67.0,3.0,250,$55,"September 30, 2019[205]"
272,Cranor Hill,Gunnison,Colorado,8500,8100.0,400.0,45,4.0,1.0,75,$17,"September 30, 2019[206]"
273,Lake City,Lake City,Colorado,8850,8600.0,250.0,14,7.0,1.0,,$20,"September 30, 2019[207]"
274,Beaver Mountain,Logan,Utah,8800,7200.0,1600.0,667,47.0,5.0,400,$50,"September 30, 2019[208]"
275,Cherry Peak,Richmond,Utah,7050,5775.0,1265.0,200,29.0,3.0,322,$40,"September 30, 2019[209]"
276,Eagle Point,Beaver,Utah,10600,9100.0,1500.0,650,40.0,5.0,400,$65,"September 30, 2019[210]"
277,Nordic Valley,Ogden,Utah,6400,5440.0,960.0,140,23.0,4.0,300,$45,"September 30, 2019[211]"
278,Snowbasin,Huntsville,Utah,9350,6391.0,2959.0,3000,104.0,11.0,350,$99,"September 30, 2019[212]"
279,Solitude Mountain,Salt Lake City,Utah,10488,7988.0,2500.0,1200,80.0,8.0,500,$115,"September 30, 2019[213]"
280,Sundance Mountain,Provo,Utah,8250,6100.0,2150.0,450,44.0,5.0,320,$90,"September 30, 2019[214]"
281,Afton Alps,Afton,Minnesota,700,350.0,350.0,300,50.0,22.0,60,$28,"October 1, 2019[215]"
282,Andes Tower Hills,Kensington,Minnesota,1620,1330.0,290.0,35,15.0,6.0,55,$45,"October 1, 2019[216]"
283,Buck Hill,Burnsville,Minnesota,1211,949.0,262.0,45,16.0,9.0,60,$47,"October 1, 2019[217]"
284,Buena Vista Ski Area,Bemidji,Minnesota,1510,1280.0,230.0,30,16.0,5.0,78,$44,"October 1, 2019[218]"
285,Chester Bowl Park,Duluth,Minnesota,875,700.0,175.0,6,5.0,1.0,100,$15,"October 1, 2019[219]"
286,Coffee Mill Ski Area,Wabasha,Minnesota,1150,725.0,425.0,40,14.0,3.0,48,$37,"October 1, 2019"
287,Detroit Mountain,Detroit Lakes,Minnesota,1607,1443.0,210.0,45,21.0,8.0,,$42,"October 1, 2019[220]"
288,Giants Ridge,Biwabik,Minnesota,1972,1472.0,500.0,202,35.0,7.0,85,$34,"October 1, 2019[221]"
289,Hyland Hills,Bloomington,Minnesota,1075,900.0,175.0,35,13.0,6.0,60,$35.34,"October 1, 2019[222]"
290,Lutsen Mountains,Lutsen,Minnesota,1688,825.0,863.0,1000,95.0,9.0,115,$86,"October 1, 2019[223]"
291,Mount Itasca,Grand Rapids,Minnesota,,,,,,,,$20,"October 1, 2019[224]"
292,Mount Kato,Mankato,Minnesota,840,600.0,240.0,55,19.0,11.0,50,$49,"October 1, 2019[225]"
293,Powder Ridge,Kimball,Minnesota,850,540.0,310.0,60,15.0,6.0,45,$50,"October 1, 2019[226]"
294,Mount Ski Gull,Nisswa,Minnesota,1515,1285.0,230.0,40,10.0,5.0,50,$39.99,"October 1, 2019[227]"
295,Spirit Mountain,Duluth,Minnesota,1298,620.0,678.0,175,22.0,8.0,90,$59,"October 1, 2019[228]"
296,Welch Village,Red Wing,Minnesota,1060,700.0,360.0,140,60.0,11.0,45,$62,"October 1, 2019[229]"
297,Wild Mountain,Taylors Falls,Minnesota,1113,813.0,300.0,100,26.0,9.0,50,$56,"October 1, 2019[230]"
